article_id,index,llm_assessment,llm_confidence,llm_explanation,llm_model,llm_error
182,541,is-not-biased,80,llama4:scout,
123,226,is-not-biased,80,llama4:scout,
167,225,is-not-biased,80,llama4:scout,
7,540,is-biased,60,llama4:scout,
97,227,is-not-biased,100,llama4:scout,
142,542,is-biased,70,llama4:scout,
111,228,is-biased,80,llama4:scout,
111,543,is-biased,80,llama4:scout,
123,544,is-not-biased,80,llama4:scout,
57,230,is-not-biased,100,llama4:scout,
193,545,is-not-biased,90,llama4:scout,
13,229,is-not-biased,90,llama4:scout,
268,546,is-biased,80,llama4:scout,
115,231,is-not-biased,90,llama4:scout,
165,232,is-biased,70,llama4:scout,
116,547,is-biased,70,llama4:scout,
271,233,is-not-biased,90,llama4:scout,
89,234,is-not-biased,80,llama4:scout,
272,548,is-not-biased,80,llama4:scout,
36,549,is-biased,20,llama4:scout,
81,235,is-not-biased,90,llama4:scout,
204,236,is-biased,80,llama4:scout,
105,550,is-not-biased,80,llama4:scout,
6,551,is-biased,60,llama4:scout,
133,237,is-not-biased,80,llama4:scout,
246,552,is-not-biased,90,llama4:scout,
94,553,is-not-biased,80,llama4:scout,
116,238,is-biased,70,llama4:scout,
242,239,is-not-biased,90,llama4:scout,
193,555,is-not-biased,90,llama4:scout,
50,240,is-biased,80,llama4:scout,
120,554,is-biased,80,llama4:scout,
155,241,is-not-biased,100,llama4:scout,
25,556,is-biased,70,llama4:scout,
274,557,is-biased,80,llama4:scout,
160,243,is-not-biased,80,llama4:scout,
100,558,is-not-biased,80,llama4:scout,
151,242,is-not-biased,90,llama4:scout,
172,244,is-not-biased,90,llama4:scout,
196,560,is-biased,80,llama4:scout,
181,1462,is-not-biased,90,llama4:scout,
2,371,is-not-biased,100,llama4:scout,
221,99,is-not-biased,100,llama4:scout,
167,1021,is-not-biased,80,llama4:scout,
245,1777,is-biased,80,llama4:scout,
136,100,is-not-biased,90,llama4:scout,
91,372,is-not-biased,100,llama4:scout,
122,1022,is-biased,70,llama4:scout,
106,101,is-not-biased,80,llama4:scout,
28,1778,is-not-biased,80,llama4:scout,
25,1463,is-biased,70,llama4:scout,
153,373,is-not-biased,90,llama4:scout,
195,1023,is-not-biased,90,llama4:scout,
20,1464,is-biased,60,llama4:scout,
157,102,is-biased,60,llama4:scout,
63,374,is-not-biased,80,llama4:scout,
112,1779,is-biased,80,llama4:scout,
179,1465,is-not-biased,80,llama4:scout,
123,103,is-not-biased,80,llama4:scout,
112,1780,is-biased,80,llama4:scout,
151,1024,is-not-biased,90,llama4:scout,
125,375,is-not-biased,90,llama4:scout,
98,1466,is-not-biased,80,llama4:scout,
9,1025,is-not-biased,80,llama4:scout,
115,1781,is-not-biased,90,llama4:scout,
2,104,is-not-biased,100,llama4:scout,
9,376,is-not-biased,80,llama4:scout,
281,1026,is-not-biased,90,llama4:scout,
54,1782,is-not-biased,80,llama4:scout,
233,1467,is-not-biased,80,llama4:scout,
59,105,is-not-biased,80,llama4:scout,
230,377,is-not-biased,100,llama4:scout,
161,1027,is-not-biased,80,llama4:scout,
185,1468,is-not-biased,80,llama4:scout,
193,1783,is-not-biased,90,llama4:scout,
187,106,is-not-biased,100,llama4:scout,
162,378,is-not-biased,80,llama4:scout,
245,1469,is-biased,80,llama4:scout,
86,1028,is-not-biased,100,llama4:scout,
111,1784,is-biased,80,llama4:scout,
65,379,is-biased,80,llama4:scout,
69,107,is-not-biased,80,llama4:scout,
33,1470,is-not-biased,80,llama4:scout,
77,1029,is-not-biased,100,llama4:scout,
116,1785,is-biased,80,llama4:scout,
237,1030,is-not-biased,90,llama4:scout,
128,108,is-not-biased,90,llama4:scout,
78,380,is-not-biased,80,llama4:scout,
278,1786,is-biased,70,llama4:scout,
130,1471,is-not-biased,80,llama4:scout,
88,381,is-biased,80,llama4:scout,
13,109,is-not-biased,90,llama4:scout,
205,1031,is-not-biased,90,llama4:scout,
193,1472,is-not-biased,90,llama4:scout,
7,110,is-biased,60,llama4:scout,
276,1787,is-not-biased,90,llama4:scout,
198,382,is-not-biased,90,llama4:scout,
275,1032,is-biased,80,llama4:scout,
191,1473,is-biased,70,llama4:scout,
160,111,is-not-biased,80,llama4:scout,
112,383,is-biased,80,llama4:scout,
162,1033,is-not-biased,80,llama4:scout,
112,1788,is-biased,80,llama4:scout,
235,1474,is-not-biased,80,llama4:scout,
112,1789,is-biased,80,llama4:scout,
92,112,is-not-biased,100,llama4:scout,
145,1034,is-biased,80,llama4:scout,
131,384,is-biased,80,llama4:scout,
54,1790,is-not-biased,80,llama4:scout,
208,113,is-not-biased,90,llama4:scout,
133,385,is-not-biased,80,llama4:scout,
151,1475,is-not-biased,90,llama4:scout,
248,1476,is-biased,70,llama4:scout,
193,1791,is-not-biased,90,llama4:scout,
132,1035,is-biased,60,llama4:scout,
130,114,is-not-biased,80,llama4:scout,
