article_id,N_Raters,N_Biased,N_Not_Biased,Human_Bias_Rate,Consensus_Rate,Eligible_For_Sampled_Kappa,Pairwise_Raw_Agreement
0,4,3,1,0.75,0.75,True,0.5
1,4,2,2,0.5,0.5,True,0.3333333333333333
10,5,3,2,0.6,0.6,True,0.4
100,8,3,5,0.375,0.625,True,0.4642857142857143
101,20,12,8,0.6,0.6,True,-0.17894736842105263
102,8,4,4,0.5,0.5,True,0.42857142857142855
103,4,2,2,0.5,0.5,True,0.3333333333333333
104,6,6,0,1.0,1.0,True,1.0
105,18,14,4,0.7777777777777778,0.7777777777777778,True,-0.20261437908496732
106,6,5,1,0.8333333333333334,0.8333333333333334,True,0.6666666666666666
107,1,1,0,1.0,1.0,False,
108,1,1,0,1.0,1.0,False,
109,6,3,3,0.5,0.5,True,0.4
11,6,4,2,0.6666666666666666,0.6666666666666666,True,0.4666666666666667
110,34,14,20,0.4117647058823529,0.5882352941176471,True,0.2727272727272727
111,24,10,14,0.4166666666666667,0.5833333333333334,True,0.4927536231884058
112,37,24,13,0.6486486486486487,0.6486486486486487,True,0.14714714714714713
113,19,14,5,0.7368421052631579,0.7368421052631579,True,-0.15789473684210525
114,45,22,23,0.4888888888888889,0.5111111111111111,True,0.23030303030303031
115,36,14,22,0.3888888888888889,0.6111111111111112,True,0.30793650793650795
116,32,24,8,0.75,0.75,True,0.0967741935483871
117,1,1,0,1.0,1.0,False,
118,13,9,4,0.6923076923076923,0.6923076923076923,True,0.5384615384615384
119,13,11,2,0.8461538461538461,0.8461538461538461,True,0.717948717948718
12,2,2,0,1.0,1.0,True,1.0
120,3,2,1,0.6666666666666666,0.6666666666666666,True,0.3333333333333333
121,20,15,5,0.75,0.75,True,-0.06842105263157895
122,10,7,3,0.7,0.7,True,0.5333333333333333
123,20,16,4,0.8,0.8,True,-0.010526315789473684
124,1,1,0,1.0,1.0,False,
125,12,10,2,0.8333333333333334,0.8333333333333334,True,0.696969696969697
126,6,6,0,1.0,1.0,True,1.0
127,11,4,7,0.36363636363636365,0.6363636363636364,True,0.4909090909090909
128,12,7,5,0.5833333333333334,0.5833333333333334,True,0.4696969696969697
129,15,10,5,0.6666666666666666,0.6666666666666666,True,0.5238095238095238
13,6,1,5,0.16666666666666666,0.8333333333333334,True,0.6666666666666666
130,18,14,4,0.7777777777777778,0.7777777777777778,True,-0.20261437908496732
131,10,6,4,0.6,0.6,True,0.4666666666666667
132,11,9,2,0.8181818181818182,0.8181818181818182,True,0.6727272727272727
133,20,14,6,0.7,0.7,True,-0.11578947368421053
134,7,3,4,0.42857142857142855,0.5714285714285714,True,0.42857142857142855
135,2,1,1,0.5,0.5,True,0.0
136,24,11,13,0.4583333333333333,0.5416666666666666,True,0.48188405797101447
137,4,1,3,0.25,0.75,True,0.5
138,2,1,1,0.5,0.5,True,0.0
139,6,5,1,0.8333333333333334,0.8333333333333334,True,0.6666666666666666
14,4,2,2,0.5,0.5,True,0.3333333333333333
140,10,7,3,0.7,0.7,True,0.5333333333333333
141,11,7,4,0.6363636363636364,0.6363636363636364,True,0.4909090909090909
142,11,8,3,0.7272727272727273,0.7272727272727273,True,0.5636363636363636
143,7,4,3,0.5714285714285714,0.5714285714285714,True,0.42857142857142855
144,9,7,2,0.7777777777777778,0.7777777777777778,True,0.6111111111111112
145,14,10,4,0.7142857142857143,0.7142857142857143,True,0.5604395604395604
146,9,4,5,0.4444444444444444,0.5555555555555556,True,0.4444444444444444
147,7,3,4,0.42857142857142855,0.5714285714285714,True,0.42857142857142855
148,5,3,2,0.6,0.6,True,0.4
149,4,2,2,0.5,0.5,True,0.3333333333333333
15,3,2,1,0.6666666666666666,0.6666666666666666,True,0.3333333333333333
150,8,4,4,0.5,0.5,True,0.42857142857142855
151,8,6,2,0.75,0.75,True,0.5714285714285714
152,15,11,4,0.7333333333333333,0.7333333333333333,True,0.580952380952381
153,5,3,2,0.6,0.6,True,0.4
154,10,7,3,0.7,0.7,True,0.5333333333333333
155,7,6,1,0.8571428571428571,0.8571428571428571,True,0.7142857142857143
156,11,8,3,0.7272727272727273,0.7272727272727273,True,0.5636363636363636
157,27,20,7,0.7407407407407407,0.7407407407407407,True,0.23646723646723647
158,5,2,3,0.4,0.6,True,0.4
159,10,10,0,1.0,1.0,True,1.0
16,8,4,4,0.5,0.5,True,0.42857142857142855
160,9,7,2,0.7777777777777778,0.7777777777777778,True,0.6111111111111112
161,11,9,2,0.8181818181818182,0.8181818181818182,True,0.6727272727272727
162,8,5,3,0.625,0.625,True,0.4642857142857143
163,4,3,1,0.75,0.75,True,0.5
164,2,1,1,0.5,0.5,True,0.0
165,8,5,3,0.625,0.625,True,0.4642857142857143
166,9,6,3,0.6666666666666666,0.6666666666666666,True,0.5
167,9,6,3,0.6666666666666666,0.6666666666666666,True,0.5
168,11,8,3,0.7272727272727273,0.7272727272727273,True,0.5636363636363636
169,12,9,3,0.75,0.75,True,0.5909090909090909
17,1,1,0,1.0,1.0,False,
170,2,1,1,0.5,0.5,True,0.0
171,7,5,2,0.7142857142857143,0.7142857142857143,True,0.5238095238095238
172,7,6,1,0.8571428571428571,0.8571428571428571,True,0.7142857142857143
173,6,1,5,0.16666666666666666,0.8333333333333334,True,0.6666666666666666
174,7,7,0,1.0,1.0,True,1.0
175,8,4,4,0.5,0.5,True,0.42857142857142855
176,4,2,2,0.5,0.5,True,0.3333333333333333
177,5,3,2,0.6,0.6,True,0.4
178,3,1,2,0.3333333333333333,0.6666666666666666,True,0.3333333333333333
179,6,6,0,1.0,1.0,True,1.0
18,2,0,2,0.0,1.0,True,1.0
180,7,4,3,0.5714285714285714,0.5714285714285714,True,0.42857142857142855
181,7,5,2,0.7142857142857143,0.7142857142857143,True,0.5238095238095238
182,9,6,3,0.6666666666666666,0.6666666666666666,True,0.5
183,3,3,0,1.0,1.0,True,1.0
184,11,8,3,0.7272727272727273,0.7272727272727273,True,0.5636363636363636
185,5,4,1,0.8,0.8,True,0.6
186,3,3,0,1.0,1.0,True,1.0
187,5,2,3,0.4,0.6,True,0.4
188,2,2,0,1.0,1.0,True,1.0
189,1,0,1,0.0,1.0,False,
19,11,5,6,0.45454545454545453,0.5454545454545454,True,0.45454545454545453
190,1,1,0,1.0,1.0,False,
191,3,2,1,0.6666666666666666,0.6666666666666666,True,0.3333333333333333
192,19,11,8,0.5789473684210527,0.5789473684210527,True,0.4853801169590643
193,40,13,27,0.325,0.675,True,0.3858974358974359
194,7,5,2,0.7142857142857143,0.7142857142857143,True,0.5238095238095238
195,15,7,8,0.4666666666666667,0.5333333333333333,True,0.4666666666666667
196,2,2,0,1.0,1.0,True,1.0
197,6,5,1,0.8333333333333334,0.8333333333333334,True,0.6666666666666666
198,2,1,1,0.5,0.5,True,0.0
199,2,2,0,1.0,1.0,True,1.0
2,11,8,3,0.7272727272727273,0.7272727272727273,True,0.5636363636363636
20,15,9,6,0.6,0.6,True,0.4857142857142857
200,3,3,0,1.0,1.0,True,1.0
201,3,0,3,0.0,1.0,True,1.0
202,2,1,1,0.5,0.5,True,0.0
203,9,4,5,0.4444444444444444,0.5555555555555556,True,0.4444444444444444
204,7,5,2,0.7142857142857143,0.7142857142857143,True,0.5238095238095238
205,22,10,12,0.45454545454545453,0.5454545454545454,True,0.4805194805194805
206,2,0,2,0.0,1.0,True,1.0
